Symbol,Company Name,Exchange,Sector
LON:0HEU,American Tower Corporation,London Stock Exchange,Real Estate
LON:0KTI,Enbridge Inc.,London Stock Exchange,Energy
LON:RR,Rolls-Royce Holdings plc,London Stock Exchange,Industrials
LON:0QP2,Zurich Insurance Group AG,London Stock Exchange,Financials
LON:0HBC,Intesa Sanpaolo S.p.A.,London Stock Exchange,
LON:0R3T,UBS Group AG,London Stock Exchange,Financials
LON:0LUS,Welltower Inc.,London Stock Exchange,Real Estate
LON:0R31,"Altria Group, Inc.",London Stock Exchange,
LON:0L8A,The Southern Company,London Stock Exchange,Utilities
LON:0R1E,"Nintendo Co., Ltd.",London Stock Exchange,Technology
LON:0K85,"Nintendo Co., Ltd.",London Stock Exchange,
LON:0HB5,BNP Paribas SA,London Stock Exchange,
LON:REL,RELX PLC,London Stock Exchange,Industrials
LON:0LAF,"Sumitomo Mitsui Financial Group, Inc.",London Stock Exchange,
LON:0HR2,CME Group Inc.,London Stock Exchange,Financials
LON:0Y2S,Trane Technologies plc,London Stock Exchange,
LON:0LTG,"Waste Management, Inc.",London Stock Exchange,Industrials
LON:0A6Q,AIA Group Limited,London Stock Exchange,
LON:0IP9,"Fiserv, Inc.",London Stock Exchange,Technology
LON:0A3T,Sea Limited,London Stock Exchange,
LON:0NRE,Enel SpA,London Stock Exchange,
LON:0NPL,Christian Dior SE,London Stock Exchange,
LON:0NC5,Investor AB (publ),London Stock Exchange,
LON:0NC6,Investor AB (publ),London Stock Exchange,
LON:0QZ6,"NIKE, Inc.",London Stock Exchange,
LON:0ID1,Duke Energy Corporation,London Stock Exchange,Utilities
LON:0KEH,Brookfield Corporation,London Stock Exchange,
LON:0L5V,The Sherwin-Williams Company,London Stock Exchange,Materials
LON:0HYJ,Cintas Corporation,London Stock Exchange,Industrials
LON:0R24,Intel Corporation,London Stock Exchange,Technology
LON:0II4,"Equinix, Inc.",London Stock Exchange,Real Estate
LON:0JZU,McKesson Corporation,London Stock Exchange,Healthcare
LON:0J1R,"HCA Healthcare, Inc.",London Stock Exchange,Healthcare
LON:0HG8,"Elevance Health, Inc.",London Stock Exchange,Healthcare
LON:0K36,Moody's Corporation,London Stock Exchange,Financials
LON:0RDT,Ferrari N.V.,London Stock Exchange,
LON:0NI1,Rheinmetall AG,London Stock Exchange,
LON:0A2B,"Banco Bilbao Vizcaya Argentaria, S.A.",London Stock Exchange,
LON:BVA,"Banco Bilbao Vizcaya Argentaria, S.A.",London Stock Exchange,Financials
LON:0R08,"United Parcel Service, Inc.",London Stock Exchange,Industrials
LON:0Q89,Thomson Reuters Corporation,London Stock Exchange,
LON:0R0G,"Mondelez International, Inc.",London Stock Exchange,Consumer Staples
LON:0KFZ,Parker-Hannifin Corporation,London Stock Exchange,Industrials
LON:0A8C,"Airbnb, Inc.",London Stock Exchange,
LON:SBID,State Bank of India,London Stock Exchange,Financials
LON:0A77,The Cigna Group,London Stock Exchange,
LON:0KFE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,London Stock Exchange,Financials
LON:0HS2,"Cadence Design Systems, Inc.",London Stock Exchange,Technology
LON:0K6G,"NetEase, Inc.",London Stock Exchange,
LON:GSK,GSK plc,London Stock Exchange,Healthcare
LON:0HRS,CVS Health Corporation,London Stock Exchange,Healthcare
LON:0ITL,Arthur J. Gallagher & Co.,London Stock Exchange,Financials
LON:0REK,TransDigm Group Incorporated,London Stock Exchange,Industrials
LON:LSEG,London Stock Exchange Group plc,London Stock Exchange,Financials
LON:BP,BP p.l.c.,London Stock Exchange,Energy
LON:0HKP,BP p.l.c.,London Stock Exchange,
LON:0L8B,Southern Copper Corporation,London Stock Exchange,Materials
LON:0NQM,Vinci SA,London Stock Exchange,
LON:0QNY,3M Company,London Stock Exchange,
LON:0UKH,Bank of Montreal,London Stock Exchange,Financials
LON:0L7L,SoftBank Group Corp.,London Stock Exchange,
LON:0R15,SoftBank Group Corp.,London Stock Exchange,Communication Services
LON:0IR9,"Fortinet, Inc.",London Stock Exchange,Technology
LON:0KW1,"Republic Services, Inc.",London Stock Exchange,Industrials
LON:0A7D,Dell Technologies Inc.,London Stock Exchange,
LON:0XSE,Infosys Limited,London Stock Exchange,
LON:0XXV,Atlas Copco AB (publ),London Stock Exchange,Industrials
LON:0XXT,Atlas Copco AB (publ),London Stock Exchange,
LON:0HT4,Capital One Financial Corporation,London Stock Exchange,Financials
LON:0LBP,"Synopsys, Inc.",London Stock Exchange,Technology
LON:0KAB,"O'Reilly Automotive, Inc.",London Stock Exchange,Consumer Discretionary
LON:0IFA,Ecolab Inc.,London Stock Exchange,Materials
