Symbol,Company Name,Exchange,Sector
ASX:AAC,Australian Agricultural Company Limited,Australian Securities Exchange,Consumer Staples
ASX:LIC,Lifestyle Communities Limited,Australian Securities Exchange,Real Estate
ASX:VGL,Vista Group International Limited,Australian Securities Exchange,Technology
ASX:NGI,Navigator Global Investments Limited,Australian Securities Exchange,Financials
ASX:PPM,Pepper Money Limited,Australian Securities Exchange,Financials
ASX:CU6,Clarity Pharmaceuticals Ltd,Australian Securities Exchange,Healthcare
ASX:NXL,Nuix Limited,Australian Securities Exchange,Technology
ASX:FCL,FINEOS Corporation Holdings plc,Australian Securities Exchange,Technology
ASX:PPC,Peet Limited,Australian Securities Exchange,Real Estate
ASX:RPL,Regal Partners Limited,Australian Securities Exchange,Financials
ASX:COF,Centuria Office REIT,Australian Securities Exchange,Real Estate
ASX:OPT,Opthea Limited,Australian Securities Exchange,Healthcare
ASX:MYS,MyState Limited,Australian Securities Exchange,Financials
ASX:HGH,Heartland Group Holdings Limited,Australian Securities Exchange,Financials
ASX:JLG,Johns Lyng Group Limited,Australian Securities Exchange,Industrials
ASX:MIR,Mirrabooka Investments Limited,Australian Securities Exchange,Financials
ASX:SGLLV,Ricegrowers Limited,Australian Securities Exchange,Consumer Staples
ASX:RFF,Rural Funds Group,Australian Securities Exchange,Real Estate
ASX:TEA,Tasmea Limited,Australian Securities Exchange,Industrials
ASX:PYC,PYC Therapeutics Limited,Australian Securities Exchange,Healthcare
ASX:AEF,Australian Ethical Investment Limited,Australian Securities Exchange,Financials
ASX:HM1,Hearts and Minds Investments Limited,Australian Securities Exchange,Financials
ASX:SKC,SkyCity Entertainment Group Limited,Australian Securities Exchange,Consumer Discretionary
ASX:RUL,RPMGlobal Holdings Limited,Australian Securities Exchange,Technology
ASX:BOT,Botanix Pharmaceuticals Limited,Australian Securities Exchange,Healthcare
ASX:FPR,FleetPartners Group Limited,Australian Securities Exchange,Industrials
ASX:SHV,Select Harvests Limited,Australian Securities Exchange,Consumer Staples
ASX:PWH,PWR Holdings Limited,Australian Securities Exchange,Consumer Discretionary
ASX:MAH,Macmahon Holdings Limited,Australian Securities Exchange,Materials
ASX:PGC,Paragon Care Limited,Australian Securities Exchange,Healthcare
ASX:GWA,GWA Group Limited,Australian Securities Exchange,Industrials
ASX:PFP,Propel Funeral Partners Limited,Australian Securities Exchange,Consumer Discretionary
ASX:GNP,GenusPlus Group Ltd,Australian Securities Exchange,Industrials
ASX:JIN,Jumbo Interactive Limited,Australian Securities Exchange,Consumer Discretionary
ASX:UNI,Universal Store Holdings Limited,Australian Securities Exchange,Consumer Discretionary
ASX:AD8,Audinate Group Limited,Australian Securities Exchange,Technology
ASX:HLS,Healius Limited,Australian Securities Exchange,Healthcare
ASX:AFG,Australian Finance Group Limited,Australian Securities Exchange,Financials
ASX:WTN,Winton Land Limited,Australian Securities Exchange,Real Estate
ASX:C79,Chrysos Corporation Limited,Australian Securities Exchange,Technology
ASX:BC8,Black Cat Syndicate Limited,Australian Securities Exchange,Materials
ASX:QOR,Qoria Limited,Australian Securities Exchange,Technology
ASX:FFM,FireFly Metals Ltd,Australian Securities Exchange,Materials
ASX:CCL,Cuscal Limited,Australian Securities Exchange,Financials
ASX:SRV,Servcorp Limited,Australian Securities Exchange,Real Estate
ASX:CHN,Chalice Mining Limited,Australian Securities Exchange,Materials
ASX:KCN,Kingsgate Consolidated Limited,Australian Securities Exchange,Materials
ASX:IMR,"Imricor Medical Systems, Inc.",Australian Securities Exchange,Healthcare
ASX:CVL,Civmec Limited,Australian Securities Exchange,Industrials
