Symbol,Company Name,Exchange,Sector
NSE:EICHERMOT,Eicher Motors Limited,National Stock Exchange of India,Consumer Discretionary
BOM:543287,Macrotech Developers Limited,Bombay Stock Exchange,
NSE:LODHA,Macrotech Developers Limited,National Stock Exchange of India,Real Estate
BOM:500440,Hindalco Industries Limited,Bombay Stock Exchange,
NSE:HINDALCO,Hindalco Industries Limited,National Stock Exchange of India,Materials
BOM:532755,Tech Mahindra Limited,Bombay Stock Exchange,
NSE:TECHM,Tech Mahindra Limited,National Stock Exchange of India,Technology
BOM:532810,Power Finance Corporation Limited,Bombay Stock Exchange,
NSE:PFC,Power Finance Corporation Limited,National Stock Exchange of India,Financials
BOM:500547,Bharat Petroleum Corporation Limited,Bombay Stock Exchange,
NSE:BPCL,Bharat Petroleum Corporation Limited,National Stock Exchange of India,Energy
BOM:500425,Ambuja Cements Limited,Bombay Stock Exchange,
NSE:AMBUJACEM,Ambuja Cements Limited,National Stock Exchange of India,Materials
BOM:511243,Cholamandalam Investment and Finance Company Limited,Bombay Stock Exchange,
NSE:CHOLAFIN,Cholamandalam Investment and Finance Company Limited,National Stock Exchange of India,Financials
BOM:543237,Mazagon Dock Shipbuilders Limited,Bombay Stock Exchange,
NSE:MAZDOCK,Mazagon Dock Shipbuilders Limited,National Stock Exchange of India,Industrials
NSE:BRITANNIA,Britannia Industries Limited,National Stock Exchange of India,Consumer Staples
BOM:500825,Britannia Industries Limited,Bombay Stock Exchange,
BOM:500400,The Tata Power Company Limited,Bombay Stock Exchange,
NSE:TATAPOWER,The Tata Power Company Limited,National Stock Exchange of India,Utilities
BOM:511218,Shriram Finance Limited,Bombay Stock Exchange,
NSE:SHRIRAMFIN,Shriram Finance Limited,National Stock Exchange of India,Financials
BOM:500002,ABB India Limited,Bombay Stock Exchange,
NSE:ABB,ABB India Limited,National Stock Exchange of India,Industrials
BOM:532343,TVS Motor Company Limited,Bombay Stock Exchange,
NSE:TVSMOTOR,TVS Motor Company Limited,National Stock Exchange of India,Consumer Discretionary
NSE:GAIL,GAIL (India) Limited,National Stock Exchange of India,Utilities
BOM:532155,GAIL (India) Limited,Bombay Stock Exchange,
NSE:PNB,Punjab National Bank,National Stock Exchange of India,Financials
BOM:532461,Punjab National Bank,Bombay Stock Exchange,
BOM:532134,Bank of Baroda Limited,Bombay Stock Exchange,
NSE:BANKBARODA,Bank of Baroda Limited,National Stock Exchange of India,Financials
NSE:GODREJCP,Godrej Consumer Products Limited,National Stock Exchange of India,Consumer Staples
BOM:532424,Godrej Consumer Products Limited,Bombay Stock Exchange,
NSE:BSE,BSE Limited,National Stock Exchange of India,Financials
BOM:500087,Cipla Limited,Bombay Stock Exchange,
NSE:CIPLA,Cipla Limited,National Stock Exchange of India,Healthcare
BOM:500550,Siemens Limited,Bombay Stock Exchange,
NSE:SIEMENS,Siemens Limited,National Stock Exchange of India,Industrials
BOM:532477,Union Bank of India,Bombay Stock Exchange,
NSE:UNIONBANK,Union Bank of India,National Stock Exchange of India,Financials
NSE:MAXHEALTH,Max Healthcare Institute Limited,National Stock Exchange of India,Healthcare
BOM:543220,Max Healthcare Institute Limited,Bombay Stock Exchange,
NSE:UNITDSPR,United Spirits Limited,National Stock Exchange of India,Consumer Staples
BOM:532432,United Spirits Limited,Bombay Stock Exchange,
BOM:500124,Dr. Reddy's Laboratories Limited,Bombay Stock Exchange,
NSE:DRREDDY,Dr. Reddy's Laboratories Limited,National Stock Exchange of India,Healthcare
NSE:MOTHERSON,Samvardhana Motherson International Limited,National Stock Exchange of India,Consumer Discretionary
BOM:517334,Samvardhana Motherson International Limited,Bombay Stock Exchange,
NSE:RECLTD,REC Limited,National Stock Exchange of India,Financials
BOM:532955,REC Limited,Bombay Stock Exchange,
NSE:INDHOTEL,The Indian Hotels Company Limited,National Stock Exchange of India,Consumer Discretionary
BOM:500850,The Indian Hotels Company Limited,Bombay Stock Exchange,
BOM:500800,Tata Consumer Products Limited,Bombay Stock Exchange,
NSE:TATACONSUM,Tata Consumer Products Limited,National Stock Exchange of India,Consumer Staples
BOM:539254,Adani Energy Solutions Limited,Bombay Stock Exchange,
