Symbol,Company Name,Exchange,Sector
TSX:WSP,WSP Global Inc.,Toronto Stock Exchange,Industrials
NEO:SMCI,"Super Micro Computer, Inc.",Cboe Canada,Technology
TSX:CVE,Cenovus Energy Inc.,Toronto Stock Exchange,Energy
TSX:WN,George Weston Limited,Toronto Stock Exchange,Consumer Staples
TSX:T,TELUS Corporation,Toronto Stock Exchange,Communication Services
TSX:GIB.A,CGI Inc.,Toronto Stock Exchange,Technology
TSX:POW,Power Corporation of Canada,Toronto Stock Exchange,Financials
TSX:FTS,Fortis Inc.,Toronto Stock Exchange,Utilities
TSX:QSP.UN,Restaurant Brands International Limited Partnership,Toronto Stock Exchange,Consumer Discretionary
TSX:QSR,Restaurant Brands International Inc.,Toronto Stock Exchange,Consumer Discretionary
TSX:PPL,Pembina Pipeline Corporation,Toronto Stock Exchange,Energy
TSX:H,Hydro One Limited,Toronto Stock Exchange,Utilities
TSX:BCE,BCE Inc.,Toronto Stock Exchange,Communication Services
TSX:RBA,"RB Global, Inc.",Toronto Stock Exchange,Industrials
TSX:TECK.A,Teck Resources Limited,Toronto Stock Exchange,Materials
TSX:TECK.B,Teck Resources Limited,Toronto Stock Exchange,Materials
TSX:GFL,GFL Environmental Inc.,Toronto Stock Exchange,Industrials
TSX:K,Kinross Gold Corporation,Toronto Stock Exchange,Materials
TSX:TOU,Tourmaline Oil Corp.,Toronto Stock Exchange,Energy
TSX:BEP.UN,Brookfield Renewable Partners L.P.,Toronto Stock Exchange,Utilities
TSX:MRU,Metro Inc.,Toronto Stock Exchange,Consumer Staples
TSX:BIP.UN,Brookfield Infrastructure Partners L.P.,Toronto Stock Exchange,Utilities
TSX:RCI.B,Rogers Communications Inc.,Toronto Stock Exchange,Communication Services
TSX:RCI.A,Rogers Communications Inc.,Toronto Stock Exchange,Communication Services
TSX:BNT,Brookfield Wealth Solutions Ltd.,Toronto Stock Exchange,Financials
TSX:CLS,Celestica Inc.,Toronto Stock Exchange,Technology
TSX:EMA,Emera Incorporated,Toronto Stock Exchange,Utilities
TSX:FM,First Quantum Minerals Ltd.,Toronto Stock Exchange,Materials
TSX:ARX,ARC Resources Ltd.,Toronto Stock Exchange,Energy
TSX:LUG,Lundin Gold Inc.,Toronto Stock Exchange,Materials
TSX:STN,Stantec Inc.,Toronto Stock Exchange,Industrials
TSX:ATRL,AtkinsRéalis Group Inc.,Toronto Stock Exchange,Industrials
TSX:AGI,Alamos Gold Inc.,Toronto Stock Exchange,Materials
TSX:X,TMX Group Limited,Toronto Stock Exchange,Financials
TSX:IVN,Ivanhoe Mines Ltd.,Toronto Stock Exchange,Materials
TSX:BEPC,Brookfield Renewable Corporation,Toronto Stock Exchange,Utilities
TSX:MG,Magna International Inc.,Toronto Stock Exchange,Consumer Discretionary
TSXV:TOI,Topicus.com Inc.,TSX Venture Exchange,Technology
TSX:PAAS,Pan American Silver Corp.,Toronto Stock Exchange,Materials
TSX:OVV,Ovintiv Inc.,Toronto Stock Exchange,Energy
TSX:CCL.A,CCL Industries Inc.,Toronto Stock Exchange,Consumer Discretionary
TSX:CCL.B,CCL Industries Inc.,Toronto Stock Exchange,Consumer Discretionary
TSX:EFN,Element Fleet Management Corp.,Toronto Stock Exchange,Industrials
TSX:DAY,Dayforce Inc.,Toronto Stock Exchange,Technology
TSX:IAG,iA Financial Corporation Inc.,Toronto Stock Exchange,Financials
TSX:LUN,Lundin Mining Corporation,Toronto Stock Exchange,Materials
TSX:EMP.A,Empire Company Limited,Toronto Stock Exchange,Consumer Staples
TSX:CAE,CAE Inc.,Toronto Stock Exchange,Industrials
TSX:DSG,The Descartes Systems Group Inc.,Toronto Stock Exchange,Technology
TSXV:LMN,Lumine Group Inc.,TSX Venture Exchange,Technology
TSX:ALA,AltaGas Ltd.,Toronto Stock Exchange,Energy
TSX:SAP,Saputo Inc.,Toronto Stock Exchange,Consumer Staples
TSX:FSV,FirstService Corporation,Toronto Stock Exchange,Real Estate
TSX:WCP,Whitecap Resources Inc.,Toronto Stock Exchange,Energy
TSX:IGM,IGM Financial Inc.,Toronto Stock Exchange,Financials
TSX:CU,Canadian Utilities Limited,Toronto Stock Exchange,Utilities
TSX:BBD.A,Bombardier Inc.,Toronto Stock Exchange,Industrials
TSX:BBD.B,Bombardier Inc.,Toronto Stock Exchange,Industrials
TSX:OTEX,Open Text Corporation,Toronto Stock Exchange,Technology
TSX:TFII,TFI International Inc.,Toronto Stock Exchange,Industrials
TSX:GIL,Gildan Activewear Inc.,Toronto Stock Exchange,Consumer Discretionary
TSX:CTC.A,"Canadian Tire Corporation, Limited",Toronto Stock Exchange,Consumer Discretionary
TSX:EDV,Endeavour Mining plc,Toronto Stock Exchange,Materials
TSX:CTC,"Canadian Tire Corporation, Limited",Toronto Stock Exchange,Consumer Discretionary
TSXV:PVF.UN,Partners Value Investments LP,TSX Venture Exchange,Financials
TSX:TIH,Toromont Industries Ltd.,Toronto Stock Exchange,Industrials
TSX:KEY,Keyera Corp.,Toronto Stock Exchange,Energy
TSX:QBR.B,Quebecor Inc.,Toronto Stock Exchange,Communication Services
TSX:QBR.A,Quebecor Inc.,Toronto Stock Exchange,Communication Services
TSX:CIGI,Colliers International Group Inc.,Toronto Stock Exchange,Real Estate
TSX:CPX,Capital Power Corporation,Toronto Stock Exchange,Utilities
TSX:DFY,Definity Financial Corporation,Toronto Stock Exchange,Financials
TSX:WFG,West Fraser Timber Co. Ltd.,Toronto Stock Exchange,Materials
TSX:ATZ,Aritzia Inc.,Toronto Stock Exchange,Consumer Discretionary
TSX:SOBO,South Bow Corporation,Toronto Stock Exchange,Energy
TSX:ONEX,Onex Corporation,Toronto Stock Exchange,Financials
TSX:BBU.UN,Brookfield Business Partners L.P.,Toronto Stock Exchange,Industrials
TSX:CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,Toronto Stock Exchange,Real Estate
TSX:FTT,Finning International Inc.,Toronto Stock Exchange,Industrials
TSX:PKI,Parkland Corporation,Toronto Stock Exchange,Energy
TSX:BIPC,Brookfield Infrastructure Corporation,Toronto Stock Exchange,Utilities
TSX:OR,OR Royalties Inc.,Toronto Stock Exchange,Materials
TSX:TFPM,Triple Flag Precious Metals Corp.,Toronto Stock Exchange,Materials
TSX:BTO,B2Gold Corp.,Toronto Stock Exchange,Materials
TSX:MEG,MEG Energy Corp.,Toronto Stock Exchange,Energy
TSX:SCR,Strathcona Resources Ltd.,Toronto Stock Exchange,Energy
TSX:AC,Air Canada,Toronto Stock Exchange,Industrials
TSX:AQN,Algonquin Power & Utilities Corp.,Toronto Stock Exchange,Utilities
TSX:CS,Capstone Copper Corp.,Toronto Stock Exchange,Materials
TSX:BLCO,Bausch + Lomb Corporation,Toronto Stock Exchange,Healthcare
TSXV:ARTG,Artemis Gold Inc.,TSX Venture Exchange,Materials
TSX:ELD,Eldorado Gold Corporation,Toronto Stock Exchange,Materials
TSX:ACO.Y,ATCO Ltd.,Toronto Stock Exchange,Utilities
TSX:ACO.X,ATCO Ltd.,Toronto Stock Exchange,Utilities
TSX:IMG,IAMGOLD Corporation,Toronto Stock Exchange,Materials
TSX:PSK,PrairieSky Royalty Ltd.,Toronto Stock Exchange,Energy
TSX:KXS,Kinaxis Inc.,Toronto Stock Exchange,Technology
TSX:NPI,Northland Power Inc.,Toronto Stock Exchange,Utilities
TSX:AG,First Majestic Silver Corp.,Toronto Stock Exchange,Materials
TSX:ELF,E-L Financial Corporation Limited,Toronto Stock Exchange,Financials
TSX:HBM,Hudbay Minerals Inc.,Toronto Stock Exchange,Materials
TSX:REI.UN,RioCan Real Estate Investment Trust,Toronto Stock Exchange,Real Estate
TSX:NGD,New Gold Inc.,Toronto Stock Exchange,Materials
TSX:GLXY,Galaxy Digital Inc.,Toronto Stock Exchange,Financials
TSX:CSH.UN,Chartwell Retirement Residences,Toronto Stock Exchange,Real Estate
TSX:NXE,NexGen Energy Ltd.,Toronto Stock Exchange,Energy
TSX:DOO,BRP Inc.,Toronto Stock Exchange,Consumer Discretionary
TSX:CHP.UN,Choice Properties Real Estate Investment Trust,Toronto Stock Exchange,Real Estate
TSX:CGG,China Gold International Resources Corp. Ltd.,Toronto Stock Exchange,Materials
TSX:OLA,Orla Mining Ltd.,Toronto Stock Exchange,Materials
TSX:PRU,Perseus Mining Limited,Toronto Stock Exchange,Materials
TSX:OGC,OceanaGold Corporation,Toronto Stock Exchange,Materials
TSX:CIX,CI Financial Corp.,Toronto Stock Exchange,Financials
TSX:GRT.UN,Granite Real Estate Investment Trust,Toronto Stock Exchange,Real Estate
TSX:EQX,Equinox Gold Corp.,Toronto Stock Exchange,Materials
TSX:BYD,Boyd Group Services Inc.,Toronto Stock Exchange,Consumer Discretionary
TSX:GMIN,G Mining Ventures Corp.,Toronto Stock Exchange,Materials
TSX:SJ,Stella-Jones Inc.,Toronto Stock Exchange,Materials
TSX:TA,TransAlta Corporation,Toronto Stock Exchange,Utilities
TSX:ATS,ATS Corporation,Toronto Stock Exchange,Industrials
TSX:TPZ,Topaz Energy Corp.,Toronto Stock Exchange,Energy
TSX:PEY,Peyto Exploration & Development Corp.,Toronto Stock Exchange,Energy
TSX:GEI,Gibson Energy Inc.,Toronto Stock Exchange,Energy
TSX:TXG,Torex Gold Resources Inc.,Toronto Stock Exchange,Materials
TSX:KNT,K92 Mining Inc.,Toronto Stock Exchange,Materials
TSX:FCR.UN,First Capital Real Estate Investment Trust,Toronto Stock Exchange,Real Estate
TSX:SRU.UN,SmartCentres Real Estate Investment Trust,Toronto Stock Exchange,Real Estate
TSX:LNR,Linamar Corporation,Toronto Stock Exchange,Consumer Discretionary
