Symbol,Company Name,Exchange,Sector
ETR:3CP,Xiaomi Corporation,Deutsche Börse Xetra,
ETR:IXD1,"Industria de Diseño Textil, S.A.",Deutsche Börse Xetra,Consumer Discretionary
FRA:QCI,QUALCOMM Incorporated,Frankfurt Stock Exchange,
ETR:QCI,QUALCOMM Incorporated,Deutsche Börse Xetra,Technology
FRA:CAT1,Caterpillar Inc.,Frankfurt Stock Exchange,
ETR:CAT1,Caterpillar Inc.,Deutsche Börse Xetra,Industrials
FRA:BCO,The Boeing Company,Frankfurt Stock Exchange,
ETR:BCO,The Boeing Company,Deutsche Börse Xetra,Industrials
FRA:M4B,"China Merchants Bank Co., Ltd.",Frankfurt Stock Exchange,
ETR:AMG,Amgen Inc.,Deutsche Börse Xetra,Healthcare
FRA:AMG,Amgen Inc.,Frankfurt Stock Exchange,
ETR:MHL,S&P Global Inc.,Deutsche Börse Xetra,Financials
FRA:MHL,S&P Global Inc.,Frankfurt Stock Exchange,
ETR:UNVB,Unilever PLC,Deutsche Börse Xetra,Consumer Staples
FRA:UNVB,Unilever PLC,Frankfurt Stock Exchange,
ETR:TN8,Thermo Fisher Scientific Inc.,Deutsche Börse Xetra,Healthcare
FRA:TN8,Thermo Fisher Scientific Inc.,Frankfurt Stock Exchange,
FRA:ALV,Allianz SE,Frankfurt Stock Exchange,
ETR:ALV,Allianz SE,Deutsche Börse Xetra,Financials
ETR:UU2,"BlackRock, Inc.",Deutsche Börse Xetra,Financials
FRA:UU2,"BlackRock, Inc.",Frankfurt Stock Exchange,
FRA:BY6,BYD Company Limited,Frankfurt Stock Exchange,Consumer Discretionary
ETR:AIR,Airbus SE,Deutsche Börse Xetra,Industrials
FRA:AIR,Airbus SE,Frankfurt Stock Exchange,
ETR:BSX,Boston Scientific Corporation,Deutsche Börse Xetra,
FRA:BSX,Boston Scientific Corporation,Frankfurt Stock Exchange,Healthcare
ETR:SND,Schneider Electric S.E.,Deutsche Börse Xetra,Industrials
FRA:SND,Schneider Electric S.E.,Frankfurt Stock Exchange,
ETR:TRVC,Citigroup Inc.,Deutsche Börse Xetra,Financials
ETR:ALD,Honeywell International Inc.,Deutsche Börse Xetra,Industrials
